Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
-1,0.03,27.3,970.7,805,1.5627,30/01/23,10:29:15
-1,0.03,27.3,971,808,1.5637,30/01/23,10:29:25
-1,0.03,27.4,970.2,785,1.5649,30/01/23,10:29:35
-1,0.03,27.6,970.5,843,1.5658,30/01/23,10:29:45
-1,0.03,27.5,969.9,861,1.5669,30/01/23,10:29:55
-1,0.03,27.8,970.9,847,1.5679,30/01/23,10:30:05
-1,0.03,27.8,971.4,792,1.569,30/01/23,10:30:15
-1,0.03,27.8,971.1,768,1.57,30/01/23,10:30:25
-1,0.03,27.8,970.3,761,1.5711,30/01/23,10:30:35
-1,0.03,27.8,970.5,771,1.572,30/01/23,10:30:45
-1,0.03,27.8,970.1,773,1.5731,30/01/23,10:30:55
-1,0.03,27.8,970.9,818,1.5741,30/01/23,10:31:05
-1,0.03,27.8,970.9,829,1.5751,30/01/23,10:31:15
-1,0.03,27.8,970,829,1.5761,30/01/23,10:31:25
-1,0.03,27.8,970.4,844,1.5772,30/01/23,10:31:35
-1,0.03,27.8,971.2,833,1.5781,30/01/23,10:31:45
-1,0.03,27.9,970.6,786,1.5791,30/01/23,10:31:55
-1,0.03,28.2,971.3,805,1.58,30/01/23,10:32:05
-1,0.03,28.2,971.9,836,1.5806,30/01/23,10:32:15
-1,0.07,28.3,971.5,822,1.5809,30/01/23,10:32:25
-1,0.17,28.3,971.2,851,1.5824,30/01/23,10:32:35
-1,0.29,28.3,971,840,1.5822,30/01/23,10:32:45
-1,0.41,28.3,969.7,823,1.5843,30/01/23,10:32:55
-1,0.56,28.3,970.4,855,1.5831,30/01/23,10:33:05
-1,0.73,28.3,969.7,844,1.5861,30/01/23,10:33:15
-1,0.81,28.3,970.2,830,1.5854,30/01/23,10:33:25
-1,0.76,28.3,970.5,822,1.5881,30/01/23,10:33:35
-1,0.68,28.3,969.9,837,1.5875,30/01/23,10:33:45
-1,0.63,28.3,971.5,831,1.5899,30/01/23,10:33:55
-1,0.63,28.4,970.6,835,1.589,30/01/23,10:34:05
-1,0.7,28.3,971,844,1.5917,30/01/23,10:34:15
-1,0.92,28.4,971.4,802,1.588,30/01/23,10:34:25
-1,1.44,28.7,971.6,780,1.5932,30/01/23,10:34:35
-1,2.18,28.7,971.3,782,1.5864,30/01/23,10:34:45
-1,2.82,28.7,970.3,782,1.5948,30/01/23,10:34:55
-1,3.29,28.8,969.4,788,1.5861,30/01/23,10:35:05
-1,3.68,28.8,969.9,817,1.5965,30/01/23,10:35:15
-1,3.91,28.8,970.7,847,1.5883,30/01/23,10:35:25
-1,3.84,28.8,969.8,848,1.5984,30/01/23,10:35:35
-1,3.63,28.8,971.5,851,1.5905,30/01/23,10:35:45
-1,3.54,28.8,970.7,837,1.6001,30/01/23,10:35:55
-1,3.58,28.8,971,832,1.5907,30/01/23,10:36:05
-1,3.86,28.8,971.3,818,1.6017,30/01/23,10:36:15
-1,4.38,28.9,970.3,834,1.5897,30/01/23,10:36:25
-1,4.92,28.8,969.6,824,1.6032,30/01/23,10:36:35
-1,5.39,29.1,970.5,827,1.5899,30/01/23,10:36:45
-1,5.66,29.2,970.3,814,1.6049,30/01/23,10:36:55
-1,5.78,29.2,970.4,807,1.5909,30/01/23,10:37:05
-1,5.91,29.2,970,807,1.6065,30/01/23,10:37:15
-1,6.12,29.2,969.8,827,1.5913,30/01/23,10:37:25
-1,6.35,29.2,970,817,1.6081,30/01/23,10:37:35
-1,6.57,29.2,969.5,832,1.592,30/01/23,10:37:45
-1,6.74,29.2,971.3,831,1.6097,30/01/23,10:37:55
-1,6.88,29.2,971.8,826,1.5934,30/01/23,10:38:05
-1,6.93,29.2,970,828,1.6114,30/01/23,10:38:15
-1,6.9,29.2,970.4,832,1.5948,30/01/23,10:38:25
-1,6.97,29.2,970.1,836,1.613,30/01/23,10:38:35
-1,7.06,29.3,970.3,834,1.598,30/01/23,10:38:45
-1,6.73,29.4,969.6,829,1.615,30/01/23,10:38:55
-1,6.02,29.5,969.5,829,1.6031,30/01/23,10:39:05
-1,5.39,29.4,972,820,1.6168,30/01/23,10:39:15
-1,4.95,29.7,971.6,830,1.6059,30/01/23,10:39:25
-1,4.7,29.7,971.5,838,1.6184,30/01/23,10:39:35
-1,4.59,29.7,974,845,1.6074,30/01/23,10:39:45
-1,4.59,29.7,972.8,861,1.6199,30/01/23,10:39:55
-1,4.69,29.7,972.4,846,1.609,30/01/23,10:40:05
-1,4.71,29.7,971.9,862,1.6214,30/01/23,10:40:15
-1,4.74,29.7,972.7,861,1.6098,30/01/23,10:40:25
-1,4.88,29.7,974.1,861,1.6228,30/01/23,10:40:35
-1,5.14,29.7,973.2,859,1.6097,30/01/23,10:40:45
-1,5.4,29.7,972.6,860,1.6243,30/01/23,10:40:55
-1,5.58,29.7,972.4,869,1.6107,30/01/23,10:41:05
-1,5.68,29.7,971.4,846,1.6258,30/01/23,10:41:15
-1,5.72,29.8,971.9,853,1.6115,30/01/23,10:41:25
-1,5.85,29.8,971.9,838,1.6271,30/01/23,10:41:35
-1,6.16,29.9,971.4,826,1.6115,30/01/23,10:41:45
-1,5.93,30.1,970.3,834,1.6303,30/01/23,10:41:55
-1,3.17,30.1,969.9,824,1.631,30/01/23,10:42:05
-1,0.4,30.2,973,833,1.6311,30/01/23,10:42:15
-1,0.9,30.2,973.2,844,1.6229,30/01/23,10:42:25
-1,2.9,30.2,972.6,842,1.6332,30/01/23,10:42:35
-1,3.02,30.2,973.1,855,1.6167,30/01/23,10:42:45
-1,3.44,30.2,971.8,840,1.6346,30/01/23,10:42:55
-1,4.3,30.2,973.3,848,1.6183,30/01/23,10:43:05
-1,4.96,30.2,973.6,845,1.6344,30/01/23,10:43:15
-1,6.13,30.2,974.3,850,1.6198,30/01/23,10:43:25
-1,6.09,30.2,970.9,856,1.6358,30/01/23,10:43:35
-1,6.1,30.2,972.3,845,1.6209,30/01/23,10:43:45
-1,6.01,30.2,970.7,845,1.6372,30/01/23,10:43:55
-1,5.86,30.2,970.7,844,1.6217,30/01/23,10:44:05
-1,6.09,30.2,970.3,838,1.6385,30/01/23,10:44:15
-1,6.35,30.4,971.3,834,1.6291,30/01/23,10:44:25
-1,5.77,30.4,972.4,823,1.6401,30/01/23,10:44:35
-1,5.31,30.6,972.4,842,1.6272,30/01/23,10:44:45
-1,5.48,30.7,971,840,1.6416,30/01/23,10:44:55
-1,5.66,30.7,971,845,1.6286,30/01/23,10:45:05
-1,5.59,30.7,972,848,1.6428,30/01/23,10:45:15
-1,5.45,30.7,971.6,847,1.6299,30/01/23,10:45:25
-1,5.47,30.7,971.2,847,1.6441,30/01/23,10:45:35
-1,5.62,30.7,969.9,845,1.6288,30/01/23,10:45:45
-1,6.01,30.7,971,847,1.6452,30/01/23,10:45:55
-1,6.17,30.7,971.8,841,1.6322,30/01/23,10:46:05
-1,5.77,30.7,972,841,1.6466,30/01/23,10:46:15
-1,5.48,30.7,971.5,844,1.6334,30/01/23,10:46:25
-1,5.5,30.8,971.2,846,1.6479,30/01/23,10:46:35
-1,5.68,30.7,969.9,846,1.6328,30/01/23,10:46:45
-1,6.03,30.8,970.2,844,1.6491,30/01/23,10:46:55
-1,6.18,30.9,970.3,834,1.6339,30/01/23,10:47:05
-1,6.2,31.2,969.2,834,1.6503,30/01/23,10:47:15
-1,6.31,31.2,970.1,837,1.6346,30/01/23,10:47:25
-1,6.4,31.2,969.1,842,1.6515,30/01/23,10:47:35
-1,6.4,31.2,971.5,841,1.6361,30/01/23,10:47:45
-1,6.3,31.2,970.9,839,1.6528,30/01/23,10:47:55
-1,6.07,31.2,971.1,835,1.6385,30/01/23,10:48:05
-1,5.91,31.2,971.5,838,1.654,30/01/23,10:48:15
-1,5.87,31.2,971.4,840,1.6399,30/01/23,10:48:25
-1,5.83,31.2,971.8,842,1.6553,30/01/23,10:48:35
-1,5.77,31.2,970.5,852,1.6406,30/01/23,10:48:45
-1,5.81,31.2,969.7,852,1.6564,30/01/23,10:48:55
-1,5.93,31.2,969.4,849,1.6415,30/01/23,10:49:05
-1,6.02,31.2,970.4,846,1.6575,30/01/23,10:49:15
-1,6.14,31.2,969.1,844,1.6419,30/01/23,10:49:25
-1,6.28,31.3,970.2,847,1.6586,30/01/23,10:49:35
-1,6.39,31.2,969.5,846,1.6428,30/01/23,10:49:45
-1,6.42,31.4,969.4,845,1.6597,30/01/23,10:49:55
-1,6.4,31.6,971.6,848,1.645,30/01/23,10:50:05
-1,6.27,31.5,970.4,853,1.6609,30/01/23,10:50:15
-1,6.2,31.7,970.2,851,1.6455,30/01/23,10:50:25
-1,6.25,31.6,972.1,852,1.662,30/01/23,10:50:35
-1,6.25,31.7,973.3,855,1.6468,30/01/23,10:50:45
-1,6.21,31.7,970.8,855,1.6631,30/01/23,10:50:55
-1,6.12,31.7,970.1,855,1.6484,30/01/23,10:51:05
-1,6.05,31.7,970.7,852,1.6643,30/01/23,10:51:15
-1,6,31.7,970.2,848,1.6497,30/01/23,10:51:25
-1,5.96,31.7,971.3,847,1.6653,30/01/23,10:51:35
-1,6.01,31.7,971.3,851,1.6499,30/01/23,10:51:45
-1,6.14,31.7,970.3,849,1.6663,30/01/23,10:51:55
-1,6.25,31.7,971,850,1.6507,30/01/23,10:52:05
-1,6.29,31.7,973.2,850,1.6673,30/01/23,10:52:15
-1,6.29,31.7,970.9,851,1.6519,30/01/23,10:52:25
-1,6.26,31.7,971.3,854,1.6684,30/01/23,10:52:35
-1,6.19,31.8,970.7,856,1.6532,30/01/23,10:52:45
-1,6.16,31.8,970.3,853,1.6694,30/01/23,10:52:55
-1,6.15,31.9,970.4,852,1.6552,30/01/23,10:53:05
-1,6.05,32,970.8,853,1.6704,30/01/23,10:53:15
-1,5.58,31.9,970.7,853,1.6728,30/01/23,10:53:25
-1,2.95,32,970.1,855,1.6726,30/01/23,10:53:35
-1,1.33,32.1,970.4,855,1.6677,30/01/23,10:53:45
-1,2,32.2,973.5,862,1.6743,30/01/23,10:53:55
-1,1.7,32.2,970.5,859,1.6584,30/01/23,10:54:05
-1,3.29,32.2,970.4,856,1.6735,30/01/23,10:54:15
-1,5.52,32.2,971,855,1.659,30/01/23,10:54:25
-1,5.8,32.2,971.1,853,1.6744,30/01/23,10:54:35
-1,5.83,32.2,971.4,852,1.6601,30/01/23,10:54:45
-1,4.95,32.2,970.7,853,1.6773,30/01/23,10:54:55
-1,2.27,32.2,969.7,855,1.6609,30/01/23,10:55:05
-1,2.47,32.2,971.1,858,1.6764,30/01/23,10:55:15
-1,5.19,32.2,970.9,862,1.6618,30/01/23,10:55:25
-1,5.89,32.2,969.7,861,1.6773,30/01/23,10:55:35
-1,5.83,32.2,970.4,858,1.6628,30/01/23,10:55:45
-1,5.82,32.2,970.3,856,1.6782,30/01/23,10:55:55
-1,5.9,32.2,969.8,854,1.6633,30/01/23,10:56:05
-1,5.97,32.2,970.5,857,1.6791,30/01/23,10:56:15
-1,5.99,32.2,970.3,858,1.6642,30/01/23,10:56:25
-1,6,32.3,969.6,861,1.68,30/01/23,10:56:35
-1,5.99,32.2,970.7,864,1.6651,30/01/23,10:56:45
-1,5.98,32.4,969.9,859,1.6809,30/01/23,10:56:55
-1,5.98,32.6,970.3,855,1.666,30/01/23,10:57:05
-1,5.99,32.4,970.6,861,1.6818,30/01/23,10:57:15
-1,6,32.6,970.6,855,1.6668,30/01/23,10:57:25
-1,6,32.6,970,855,1.6826,30/01/23,10:57:35
-1,6.01,32.7,970.5,861,1.6676,30/01/23,10:57:45
-1,6.02,32.6,971,867,1.6835,30/01/23,10:57:55
-1,6.02,32.7,971.1,874,1.6684,30/01/23,10:58:05
-1,6.03,32.7,971,876,1.6844,30/01/23,10:58:15
-1,6.03,32.7,970.9,872,1.6693,30/01/23,10:58:25
